Iterating initial portrait for group '体制内'
 - [Split] Fast: 0, Instructional: 3364
 - [Analyze] Fast: 9938, Instructional: 0
 - [Addition] Fast: 13676, Instructional: 0
 - [Merge] Fast: 0, Instructional: 2089
 - [Key Point] Fast: 0, Instructional: 5514
 - [Cause Effect] Fast: 24128, Instructional: 0
Iterating initial portrait for group '体制外'
 - [Split] Fast: 0, Instructional: 10252
 - [Analyze] Fast: 21391, Instructional: 0
 - [Addition] Fast: 26511, Instructional: 0
 - [Merge] Fast: 0, Instructional: 3272
 - [Key Point] Fast: 0, Instructional: 8235
 - [Cause Effect] Fast: 25881, Instructional: 0
 - [Split] Fast: 0, Instructional: 11542
 - [Analyze] Fast: 29384, Instructional: 0
 - [Addition] Fast: 67491, Instructional: 0
 - [Merge] Fast: 0, Instructional: 5049
 - [Key Point] Fast: 0, Instructional: 4062
 - [Cause Effect] Fast: 42609, Instructional: 0
Splitting '个案3.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 8341
 - [Classify] Fast: 116134, Instructional: 0
 - [Analyze] Fast: 2362, Instructional: 0
 - [Addition] Fast: 13717, Instructional: 0
 - [Merge] Fast: 0, Instructional: 1743
 - [Key Point] Fast: 0, Instructional: 6991
 - [Cause Effect] Fast: 24449, Instructional: 0
 - [Analyze] Fast: 4402, Instructional: 0
 - [Addition] Fast: 17327, Instructional: 0
 - [Merge] Fast: 0, Instructional: 4636
 - [Key Point] Fast: 0, Instructional: 6607
 - [Cause Effect] Fast: 32759, Instructional: 0
Splitting '个案4.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 19608
 - [Classify] Fast: 75065, Instructional: 0
 - [Analyze] Fast: 6048, Instructional: 0
 - [Addition] Fast: 10694, Instructional: 0
 - [Merge] Fast: 0, Instructional: 3498
 - [Key Point] Fast: 0, Instructional: 2771
 - [Cause Effect] Fast: 26234, Instructional: 0
 - [Analyze] Fast: 4734, Instructional: 0
 - [Addition] Fast: 11080, Instructional: 0
 - [Merge] Fast: 0, Instructional: 3326
 - [Key Point] Fast: 0, Instructional: 7688
 - [Cause Effect] Fast: 44146, Instructional: 0
