Iterating initial portrait for group '体制内'
 - [Split] Fast: 0, Instructional: 3479
 - [Analyze] Fast: 10896, Instructional: 0
 - [Addition] Fast: 24523, Instructional: 0
 - [Merge] Fast: 0, Instructional: 2853
 - [Encode] Fast: 1997, Instructional: 0
Iterating initial portrait for group '体制外'
 - [Split] Fast: 0, Instructional: 10300
 - [Analyze] Fast: 23286, Instructional: 0
 - [Addition] Fast: 31958, Instructional: 0
 - [Merge] Fast: 0, Instructional: 5482
 - [Encode] Fast: 2220, Instructional: 0
 - [Split] Fast: 0, Instructional: 10108
 - [Analyze] Fast: 17726, Instructional: 0
 - [Addition] Fast: 45837, Instructional: 0
 - [Merge] Fast: 0, Instructional: 12494
 - [Encode] Fast: 2843, Instructional: 0
Splitting '个案3.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 7412
 - [Classify] Fast: 188306, Instructional: 0
 - [Analyze] Fast: 16022, Instructional: 0
 - [Addition] Fast: 36502, Instructional: 0
 - [Merge] Fast: 0, Instructional: 10002
 - [Encode] Fast: 2638, Instructional: 0
 - [Analyze] Fast: 23518, Instructional: 0
 - [Addition] Fast: 55356, Instructional: 0
 - [Merge] Fast: 0, Instructional: 8884
 - [Encode] Fast: 2807, Instructional: 0
Splitting '个案4.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 4874
 - [Classify] Fast: 73341, Instructional: 0
 - [Analyze] Fast: 6662, Instructional: 0
 - [Addition] Fast: 19001, Instructional: 0
 - [Merge] Fast: 0, Instructional: 6803
 - [Encode] Fast: 2654, Instructional: 0
 - [Analyze] Fast: 5627, Instructional: 0
 - [Addition] Fast: 20678, Instructional: 0
 - [Merge] Fast: 0, Instructional: 7705
 - [Encode] Fast: 3248, Instructional: 0
Splitting '个案5.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 4159
 - [Classify] Fast: 129777, Instructional: 0
 - [Analyze] Fast: 1820, Instructional: 0
 - [Addition] Fast: 6024, Instructional: 0
 - [Merge] Fast: 0, Instructional: 3044
 - [Encode] Fast: 3006, Instructional: 0
 - [Analyze] Fast: 8553, Instructional: 0
 - [Addition] Fast: 44332, Instructional: 0
 - [Merge] Fast: 0, Instructional: 8617
 - [Encode] Fast: 3456, Instructional: 0
Splitting '个案7.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 8209
 - [Classify] Fast: 102912, Instructional: 0
 - [Analyze] Fast: 2674, Instructional: 0
 - [Addition] Fast: 6606, Instructional: 0
 - [Merge] Fast: 0, Instructional: 3657
 - [Encode] Fast: 2617, Instructional: 0
 - [Analyze] Fast: 9325, Instructional: 0
 - [Addition] Fast: 29287, Instructional: 0
 - [Merge] Fast: 0, Instructional: 7440
 - [Encode] Fast: 3880, Instructional: 0
Splitting '个案8.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 6312
 - [Classify] Fast: 108712, Instructional: 0
 - [Analyze] Fast: 2698, Instructional: 0
 - [Addition] Fast: 8605, Instructional: 0
 - [Merge] Fast: 0, Instructional: 4126
 - [Encode] Fast: 3056, Instructional: 0
 - [Analyze] Fast: 3058, Instructional: 0
 - [Addition] Fast: 17253, Instructional: 0
 - [Merge] Fast: 0, Instructional: 5345
 - [Encode] Fast: 3898, Instructional: 0
Splitting '个案9.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 4669
 - [Classify] Fast: 126762, Instructional: 0
 - [Analyze] Fast: 6773, Instructional: 0
 - [Addition] Fast: 25690, Instructional: 0
 - [Merge] Fast: 0, Instructional: 9074
 - [Encode] Fast: 3217, Instructional: 0
 - [Analyze] Fast: 2916, Instructional: 0
 - [Addition] Fast: 20471, Instructional: 0
 - [Merge] Fast: 0, Instructional: 9203
 - [Encode] Fast: 3806, Instructional: 0
Splitting '个案10.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 4649
 - [Classify] Fast: 111658, Instructional: 0
 - [Analyze] Fast: 3241, Instructional: 0
 - [Addition] Fast: 12865, Instructional: 0
 - [Merge] Fast: 0, Instructional: 6812
 - [Encode] Fast: 3238, Instructional: 0
 - [Analyze] Fast: 3213, Instructional: 0
 - [Addition] Fast: 17312, Instructional: 0
 - [Merge] Fast: 0, Instructional: 7000
 - [Encode] Fast: 3174, Instructional: 0
Splitting '个案11.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 7265
 - [Classify] Fast: 131126, Instructional: 0
 - [Analyze] Fast: 2193, Instructional: 0
 - [Addition] Fast: 6580, Instructional: 0
 - [Merge] Fast: 0, Instructional: 4260
 - [Encode] Fast: 3776, Instructional: 0
 - [Analyze] Fast: 14254, Instructional: 0
 - [Addition] Fast: 47954, Instructional: 0
 - [Merge] Fast: 0, Instructional: 12939
 - [Encode] Fast: 3803, Instructional: 0
Splitting '个案12.txt' and iterating portrait
 - [Split] Fast: 0, Instructional: 9170
 - [Classify] Fast: 128808, Instructional: 0
 - [Analyze] Fast: 1535, Instructional: 0
 - [Addition] Fast: 4832, Instructional: 0
 - [Merge] Fast: 0, Instructional: 4733
 - [Encode] Fast: 3201, Instructional: 0
 - [Analyze] Fast: 6062, Instructional: 0
 - [Addition] Fast: 16722, Instructional: 0
 - [Merge] Fast: 0, Instructional: 6564
 - [Encode] Fast: 3907, Instructional: 0
